"INTIMACY  to share my innermost experiences with others"
"SELF-ESTEEM  to feel good about myself"
"SPIRITUALITY  to grow and mature spiritually"
"SOLITUDE  to have time and space where I can be apart from  others"
"ECOLOGY  to live in harmony with the environment"
"SELF-ACCEPTANCE  to accept myself as I am"
"SEXUALITY  to have an active and satisfying sex life"
"FITNESS  to be physically fit and strong"
"FUN  to play and have fun"
"INDEPENDENCE  to be free from dependence on others"
"JUSTICE  to promote fair and equal treatment for all"
"SELF-KNOWLEDGE to have a deep and honest understanding of myself"
"LOVED  to be loved by those close to me"
"FAITHFULNESS  to be loyal and true in relationships"
"SIMPLICITY  to live life simply, with minimal needs"
"RISK  to take risks and chances"
"POWER  to have control over others"
"SERVICE  to be of service to others"
"GOD’S WILL  to seek and obey the will of God"
"DUTY  to carry out my duties and obligations"
"GENUINENESS  to act in a manner that is true to who I am"
"STABILITY  to have a life that stays fairly consistent"
"INDUSTRY  to work hard and well at my life tasks"
"FRIENDSHIP  to have close, supportive friends"
"GENEROSITY  to give what I have to others"
"EXCITEMENT  to have a life full of thrills and stimulation"
"SELF-CONTROL  to be disciplined in my own actions"
"FAMILY  to have a happy, loving family"
"DEPENDABILITY  to be reliable and trustworthy"
"BEAUTY  to appreciate beauty around me"
"NURTURANCE  to take care of and nurture others"
"AUTHORITY  to be in charge of and responsible for others"
"TRADITION  to follow respected patterns of the past"
"FLEXIBILITY  to adjust to new circumstances easily"
"FAME  to be known and recognized"
"GROWTH  to keep changing and growing"
"FORGIVENESS  to be forgiving of others"
"MONOGAMY  to have one close, loving relationship"
"HOPE  to maintain a positive and optimistic outlook"
"PASSION  to have deep feelings about ideas, activities, or  people"
"KNOWLEDGE  to learn and contribute valuable knowledge"
"INNER PEACE  to experience personal peace"
"CHANGE  to have a life full of change and variety"
"LEISURE  to take time to relax and enjoy"
"MASTERY  to be competent in my everyday activities"
"MODERATION  to avoid excesses and find a middle ground"
"LOVING  to give love to others"
"HUMILITY  to be modest and unassuming"
"HUMOR  to see th e humorous side of myself and the world"
"CREATIVITY  to have new and original ideas"
"MINDFULNESS  to live conscious and mindful of the present  moment"
"NON-CONFORMITY  to question and challenge authority and norms"
"CONTRIBUTION  to make a lasting contribution in the world"
"ACCEPTANCE  to be accepted as I am"
"ROMANCE  to have intense, exciting love in my life"
"CHALLENGE  to take on difficult tasks and problems"
"OPENNESS  to be open to new experiences, ideas, and options"
"ACCURACY  to be accurate in my opinions and beliefs"
"RATIONALITY  to be guided by reason and logic"
"ACHIEVEMENT  to have important accomplishments"
"VIRTUE  to live a morally pure and excellent life"
"WEALTH  to have plenty of money"
"COMFORT  to have a pleasant and comfortable life"
"COURTESY  to be considerate and polite toward others"
"WORLD PEACE  to work to promote peace in the world"
"ADVENTURE  to have new and exciting experiences"
"PURPOSE  to have meaning and direction in my life"
"COMMITMENT  to make e nduring, meaningful commitments"
"RESPONSIBILITY  to make and carry out responsible decisions"
"CARING  to take care of others"
"ATTRACTIVENESS  to be physically attractive"
"ORDER  to have a life that is well-ordered and organized"
"TOLERANCE  to accept and respect those who differ from me"
"COMPASSION  to feel and act on concern for others"
"SAFETY  to be safe and secure"
"PLEASURE  to feel good"
"HEALTH  to be physically well and healthy"
"HONESTY  to be honest and truthful"
"AUTONOMY  to be self-determined and independent"
"REALISM  to see and act realistically and practically"
"COOPERATION  to work collaboratively with others"
"HELPFULNESS  to be helpful to others"
"POPULARITY  to be well-liked by many people"
